========================================================================================================================
MÚSICA                                   | ARTISTA                        | GÊNERO               | ANO   
Bandit                                   | Juice WRLD                     | Hip-Hop/Rap          | 2019  
Lucid Dreams                             | Juice WRLD                     | Hip-Hop/Rap          | 2017  
Come & Go (with Marshmello)              | Juice WRLD,                    | Hip-Hop/Rap          | 2020  
Hate The Other Side (with Marshmello &   | Juice WRLD, Marshmello, ,      | Hip-Hop/Rap          | 2020  
Soda Pop                                 | June Goon                      | Pop                  | 2021  
Oh Nega                                  | Junior Lord, MC Kevinho        | Funk                 | -     
All That Matters                         | Justin Bieber                  | Pop                  | 2013  
Ghost                                    | Justin Bieber                  | Pop                  | 2021  
Ghost                                    | Justin Bieber                  | Pop                  | 2021  
Hold On                                  | Justin Bieber                  | Pop                  | 2021  
Intentions                               | Justin Bieber                  | Pop                  | 2020  
Off My Face                              | Justin Bieber                  | Pop                  | 2021  
STAY                                     | Justin Bieber                  | Pop                  | 2021  
Yummy                                    | Justin Bieber                  | Pop                  | 2020  
Know No Better (feat. DaBaby)            | Justin Bieber, DaBaby          | Pop                  | 2021  
Peaches (feat. Daniel Caesar & Giveon)   | Justin Bieber, Daniel Caesar   | Pop                  | 2021  
Mirrors                                  | Justin Timberlake              | Pop                  | 2013  
Say Something (feat. Chris Stapleton)    | Justin Timberlake,             | Pop                  | 2018  
8 O 8                                    | J€AN-MARC                      | Sertanejo            | 2021  
Way down We Go                           | KALEO                          | Blues Rock           | 2015  
Rock And Roll All Nite                   | KISS                           | Rock                 | 1975  
Sorri, Sou Rei (KVSH Remix)              | KVSH, Natiruts                 | Reggae/Vibe          | 2018  
Eu Não Valho Nada                        | KVSH, Samhara, Lagum           | Reggae/Vibe          | 2015  
Novinha do Onlyfans (Tchan Ran Tchan T   | Kadu Martins                   | Sertanejo Universi   | 2022  
Piração                                  | Kaká e Pedrinho                | Sertanejo            | 2024  
Can't Tell Me Nothing                    | Kanye West                     | Hip-Hop/Rap          | 2007  
Father Stretch My Hands Pt. 1            | Kanye West                     | Hip-Hop/Rap          | 2016  
Heartless                                | Kanye West                     | Hip-Hop/Rap          | 2008  
Stronger                                 | Kanye West                     | Hip-Hop/Rap          | 2007  
Stronger                                 | Kanye West                     | Hip-Hop/Rap          | 2007  
Flashing Lights                          | Kanye West, Dwele              | Hip-Hop/Rap          | 2007  
DNA.                                     | Kendrick Lamar                 | Hip-Hop/Rap          | 2017  
HUMBLE.                                  | Kendrick Lamar                 | Hip-Hop/Rap          | 2017  
Not Like Us                              | Kendrick Lamar                 | Hip-Hop/Rap          | 2024  
Swimming Pools (Drank)                   | Kendrick Lamar                 | Hip-Hop/Rap          | 2012  
Money Trees                              | Kendrick Lamar, Jay Rock       | Hip-Hop/Rap          | 2012  
C'est La Vie                             | Khaled                         | Música               | 2012  
Young Dumb & Broke                       | Khalid                         | Pop                  | 2017  
Day 'n' Nite                             | Kid Cudi                       | Música               | 2008  
Together - Chris Gold Edit               | Klaas, Chris Gold              | Electronic/Dance     | 2017  
Coming Undone                            | Korn                           | Nu Metal             | 2005  
Falling Away from Me                     | Korn                           | Nu Metal             | 1999  
Freak On a Leash                         | Korn                           | Nu Metal             | 1999  
Got the Life                             | Korn                           | Nu Metal             | 1998  
Make Me Bad                              | Korn                           | Nu Metal             | 2000  
Come & Get It                            | Krewella                       | Electronic/Dance-P   | 2013  
First Time                               | Kygo, Ellie Goulding           | Pop                  | 2017  
Born To Be Yours                         | Kygo, Imagine Dragons          | Pop                  | 2018  
Tipo Crazy (Participação especial de J   | LUDMILLA, Jeremih              | Funk                 | 2016  
Die With A Smile                         | Lady Gaga, Bruno Mars          | Pop                  | 2024  
Going in Blind                           | Lana Del Rey                   | Música               | 2023  
Trilha - Ao Vivo                         | Lauana Prado                   | Sertanejo            | 2018  
Arcade 2019: ULTRACOMBO (From League o   | League of Legends              | Video Game Soundtr   | 2019  
Awaken                                   | League of Legends              | Soundtrack/Game      | 2019  
Legends Never Die                        | League of Legends              | Soundtrack/Game      | 2017  
Phoenix                                  | League of Legends              | Soundtrack/Game      | 2019  
RISE                                     | League of Legends              | Soundtrack/Game      | 2018  
Take Over                                | League of Legends              | Soundtrack/Game      | 2020  
Deus e Eu - Ao Vivo                      | Leandro Borges                 | Sertanejo            | 2018  
Back Again (feat. Nuala)                 | Lemarroy, Nuala                | Sertanejo            | 2018  
Stronger                                 | Lemon Fight, Jessica Reynoso   | Pop                  | 2018  
Blue Skies - Revoke Remix                | Lenka, REVOKE                  | Pop                  | 2015  
Armamento Russo                          | Leviano, Brandão85             | Trap                 | 2023  
Baby                                     | Lil Baby                       | Hip-Hop/Rap          | 2019  
Run It Up                                | Lil Baby                       | Hip-Hop/Rap          | 2018  
Drip Too Hard                            | Lil Baby & Gunna               | Hip-Hop/Rap          | 2019  
Yes Indeed                               | Lil Baby, Drake                | Hip-Hop/Rap          | 2018  
Act A Fool                               | Lil Durk                       | Música               | 2003  
She Make It Clap                         | Lil Durk                       | Música               | 2021  
All My Life (feat. J. Cole)              | Lil Durk, J. Cole              | Trap                 | 2023  
Stand By Me (feat. Morgan Wallen)        | Lil Durk, Morgan Wallen        | Rap                  | 2010  
MONTERO (Call Me By Your Name)           | Lil Nas X                      | Hip-Hop/Rap          | 2021  
INDUSTRY BABY (feat. Jack Harlow)        | Lil Nas X, Jack Harlow         | Hip-Hop/Rap          | 2021  
Gucci Gang                               | Lil Pump                       | Música               | 2017  
Ransom                                   | Lil Tecca                      | Música               | 2019  
20 Min                                   | Lil Uzi Vert                   | Hip-Hop/Rap          | 2017  
XO Tour Llif3                            | Lil Uzi Vert                   | Hip-Hop/Rap          | 2017  
The Way Life Goes (feat. Oh Wonder)      | Lil Uzi Vert, Oh Wonder        | Hip-Hop/Rap          | 2017  
Go Off (with Lil Uzi Vert, Quavo & Tra   | Lil Uzi Vert, Quavo, Travis    | Hip-Hop/Rap          | 2017  
Lollipop                                 | Lil Wayne, Static Major        | Pop                  | 2008  
Sucker for Pain (with Wiz Khalifa, Ima   | Lil Wayne, Wiz Khalifa, , ,    | Hip-Hop/Rap          | 2016  
Barulho de Chuva                         | Lil Whind                      | Hip-Hop/Rap          | 2022  
Morango                                  | Lil Whind                      | Hip-Hop/Rap          | 2023  
Tempo                                    | Lil Whind                      | Hip-Hop/Rap          | 2020  
Mídia                                    | Lil Whind, Arthurzim           | Hip-Hop/Rap          | 2023  
Mídia                                    | Lil Whind, Arthurzim           | Hip-Hop/Rap          | 2023  
Piauí                                    | Lil Whind, Rapadura            | Hip-Hop/Rap          | 2020  
Piauí (feat. Rapadura)                   | Lil Whind, Rapadura            | Hip-Hop/Rap          | 2020  
Break Stuff                              | Limp Bizkit                    | Rock                 | 2000  
My Way                                   | Limp Bizkit                    | Rock                 | 2004  
Rollin'                                  | Limp Bizkit                    | Rock                 | 2000  
Bleed It Out                             | Linkin Park                    | Rock                 | 2007  
Bleed It Out                             | Linkin Park                    | Rock                 | 2007  
Bleed It Out                             | Linkin Park                    | Rock                 | 2007  
Burn It Down                             | Linkin Park                    | Rock                 | 2012  
CASTLE OF GLASS                          | Linkin Park                    | Rock                 | 2012  
Castle of Glass                          | Linkin Park                    | Rock                 | 2012  
Crawling                                 | Linkin Park                    | Rock                 | 2000  
Crawling                                 | Linkin Park                    | Rock                 | 2000  
Faint                                    | Linkin Park                    | Rock                 | 2003  
Figure.09                                | Linkin Park                    | Rock                 | 2003  
Heavy Is the Crown                       | Linkin Park                    | Rock                 | 2024  
In the End                               | Linkin Park                    | Rock                 | 2000  
In the End                               | Linkin Park                    | Rock                 | 2000  
In the End                               | Linkin Park                    | Rock                 | 2000  
Lying from You                           | Linkin Park                    | Rock                 | 2003  
Numb                                     | Linkin Park                    | Rock                 | 2003  
One Step Closer                          | Linkin Park                    | Rock                 | 2000  
Papercut                                 | Linkin Park                    | Rock                 | 2000  
ROADS UNTRAVELED                         | Linkin Park                    | Rock                 | 2012  
ROADS UNTRAVELED                         | Linkin Park                    | Rock                 | 2012  
Runaway                                  | Linkin Park                    | Rock                 | 2000  
The Emptiness Machine                    | Linkin Park                    | Rock                 | 2024  
What I've Done                           | Linkin Park                    | Rock                 | 2007  
Never Too Late                           | Lionel Richie                  | Música               | 2015  
Me Cura                                  | Liu, Clara Valverde,           | Sertanejo            | 2019  
Nave Espacial - Radio Edit               | Liu, Samantha Machado          | Sertanejo            | 2018  
Temple                                   | Liu, Zerky                     | Not Available        | 2017  
Keanu Reeves                             | Logic                          | Rap                  | 2019  
Everyday                                 | Logic, Marshmello              | Eletrônica           | 2019  
Broken People (with Logic & Rag'n'Bone   | Logic, Rag                     | Hip-Hop/Rap          | 2017  
Broken People (with Logic & Rag'n'Bone   | Logic, Rag'n'Bone Man          | Rap                  | 2017  
Macarena                                 | Los del Río                    | Música               | 1995  
Just Like You                            | Louis Tomlinson                | Música               | 2016  
Back to You (feat. Bebe Rexha & Digita   | Louis Tomlinson, ,             | Pop                  | 2017  
Is This Love / Oh Chuva                  | Lu & Robertinho                | Sertanejo            | 2004  
É Só Oi e Tchau                          | Luan Estilizado                | Sertanejo            | 2019  
Acordando o Prédio                       | Luan Santana                   | Sertanejo            | 2016  
Eu, Você, O Mar e Ela                    | Luan Santana                   | Sertanejo            | 2025  
MC Lençol e DJ Travesseiro               | Luan Santana                   | Sertanejo            | 2018  
Sogrão Caprichou - Ao Vivo               | Luan Santana                   | Sertanejo            | 2025  
Bailando - Ao Vivo                       | Luan Santana, Descemer Bueno   | Sertanejo/Pop Lati   | 2016  
Estaca Zero                              | Luan Santana, Ivete Sangalo    | Axé/Pop              | 2016  
Aí Eu Vou                                | Lucas Lucco                    | Sertanejo            | 2013  
Batom Vermelho                           | Lucas Lucco                    | Sertanejo            | 2020  
Batom Vermelho                           | Lucas Lucco                    | Sertanejo            | 2020  
Calma Amor - Ao Vivo                     | Lucas Lucco                    | Sertanejo            | 2014  
De Buenas                                | Lucas Lucco                    | Sertanejo            | 2016  
Fé no Pai                                | Lucas Lucco                    | Sertanejo            | 2017  
Tô Fazendo Amor                          | Lucas Lucco                    | Sertanejo            | 2017  
Vai Vendo - Versão "O Destino"           | Lucas Lucco                    | Sertanejo            | 2015  
Tô Fazendo Amor (feat. Jorge & Mateus)   | Lucas Lucco, Jorge & Mateus    | Sertanejo            | 2017  
Permanecer (feat. MC G15)                | Lucas Lucco, MC G15            | Sertanejo            | 2017  
Princesinha                              | Lucas Lucco, Mr. Catra         | Funk (Brazilian)     | 2012  
Explica Esse Rolê - Ao Vivo              | Lucca e Mateus                 | Sertanejo            | 2018  
Explica Esse Rolê - Ao Vivo              | Lucca e Mateus                 | Sertanejo            | 2018  
Despacito (Featuring Daddy Yankee)       | Luis Fonsi, Daddy Yankee       | Pop                  | 2017  
Despacito - Remix                        | Luis Fonsi, Daddy Yankee,      | Reggaeton            | 2017  
Échame La Culpa                          | Luis Fonsi, Demi Lovato        | Pop                  | 2018  
Power of Love/Love Power                 | Luther Vandross                | Música               | 1991  
Vai Dar Pt                               | Léo Santana                    | Forró/Piseiro        | 2017  
Várias Novinhas                          | Léo Santana                    | Forró/Piseiro        | 2017  
Golzinho Vermelho - Ao Vivo              | Léo Santana, NATTAN            | Forró/Piseiro        | 2023  
Rude                                     | MAGIC!                         | Pop                  | 2013  
Rude                                     | MAGIC!                         | Música               | 2013  
Rude (Acoustic)                          | MAGIC!                         | Reggae-Pop           | 2014  
Rude (Acoustic)                          | MAGIC!                         | Pop                  | 2014  
Darts In The Dark - FTampa Remix         | MAGIC!, FTampa, NASRI          | Sertanejo            | 2017  
Agora Vai Sentar                         | MC                             | Sertanejo            | 2017  
MINHA CURA - REMIX                       | MC Cabelinho, Belo,            | Trap                 | 2023  
Pega a Receita                           | MC Dede, MC Kevinho            | Funk                 | 2017  
Deu Onda                                 | MC G15                         | Sertanejo            | 2024  
País do Futebol                          | MC Guime, Emicida              | Sertanejo            | 2013  
Ilusão (Cracolândia)                     | MC Hariel, Alok, Djay W, , ,   | Eletrônica           | 2020  
Eterna Sacanagem                         | MC JottaPê, MC Kekel,          | Sertanejo            | 2016  
Força e Vitória (feat. Belo)             | MC Kevinho                     | Música               | 2023  
O Grave Bater                            | MC Kevinho                     | Funk                 | 2017  
Olha a Explosão                          | MC Kevinho                     | Funk                 | 2016  
Papum                                    | MC Kevinho                     | Funk                 | 1993  
Rabiola                                  | MC Kevinho                     | Funk                 | 2016  
Tumbalatum                               | MC Kevinho                     | Funk                 | 2016  
O Bebê                                   | MC Kevinho, MC Kekel           | Funk                 | 2018  
Ta Tum Tum                               | MC Kevinho, Simone & Simaria   | Funk                 | 2018  
Aquariano Nato                           | MC Saci, Complexo dos Hits,    | Funk                 | 2023  
De 10 Mulher 11 É Maluca                 | MC Saci, MC Fahah, ,           | Funk                 | 2023  
Edit do Chico Oficial                    | MC Saci, Mc Pretchako,         | Funk                 | 2023  
Colinho                                  | MC WM, NATTAN                  | Forró/Piseiro        | 2021  
Piece Of Your Heart - Alok Remix         | MEDUZA, Alok, Goodboys         | Eletrônica           | 2019  
Paradise (feat. Dermot Kennedy)          | MEDUZA, Dermot Kennedy         | Pop                  | 2020  
É Tudo Sobre Você / Ser Mudado - Ao Vi   | MORADA                         | Gospel               | 2021  
Can't Hold Us                            | Macklemore & Ryan Lewis        | Música               | 2011  
Thrift Shop                              | Macklemore & Ryan Lewis        | Música               | 2011  
El Préstamo                              | Maluma                         | Reggaeton            | 2018  
Daquele Jeito                            | Maneva                         | Reggae/Vibe          | 2017  
Meu Pai É Rastafari                      | Maneva                         | Reggae/Vibe          | 2017  
Pisando Descalço                         | Maneva                         | Reggae/Vibe          | 2018  
Flow de Trem #4: Segunda-Feira           | Mano Hick                      | 音乐                   | 2001  
Fingindo Maturidade - Ao Vivo            | Mano Walter, Gustavo Mioto     | Forró/Piseiro        | 2018  
Atende a Ligacao                         | Maquinario                     | Rock/Underground     | 2023  
Welcome To The Mato                      | Marco Brasil Filho, Dj Kevin   | Sertanejo            | 2021  
Domingo de Manhã                         | Marcos & Belutti               | Sertanejo            | 2013  
Tão Feliz - Ao Vivo                      | Marcos & Belutti               | Sertanejo            | 2013  
Aquele 1% - Ao Vivo                      | Marcos & Belutti, Wesley Saf   | Forró/Piseiro        | 2013  
Aquele 1% - Ao Vivo                      | Marcos & Belutti, Wesley Saf   | Forró/Piseiro        | 2013  
Melhor Dia 12 - Levanta                  | Marcos Baroni, Matuê,          | Trap                 | 2023  
Melhor Dia 13 - Era Uma Vez              | Marcos Baroni, WIU, , , , ,    | Trap                 | 2022  
Comunicação Falhou - Ao Vivo             | Mari Fernandez, NATTAN         | Forró/Piseiro        | 2022  
Sex & Candy                              | Marilyn Manson                 | Música               | 1994  
With You                                 | Marin Hoxha, Chris Linton      | Pop                  | 2018  
Desconhecida                             | Marisa Monte                   | Pop/Outros           | 2006  
Animals                                  | Maroon 5                       | Pop                  | 2014  
Maps                                     | Maroon 5                       | Pop                  | 2014  
Maps                                     | Maroon 5                       | Pop                  | 2014  
Moves Like Jagger                        | Maroon 5                       | Pop                  | 2010  
She Will Be Loved - Acoustic             | Maroon 5                       | Pop                  | 2002  
Sugar                                    | Maroon 5                       | Pop                  | 2014  
Sunday Morning                           | Maroon 5                       | Pop                  | 2002  
Sunday Morning                           | Maroon 5                       | Pop                  | 2002  
Sunday Morning - Acoustic                | Maroon 5                       | Pop                  | 2004  
This Love - Acoustic                     | Maroon 5                       | Pop                  | 2004  
Wait                                     | Maroon 5                       | Pop                  | 2017  
Wait                                     | Maroon 5                       | Pop                  | 2017  
Moves Like Jagger - Studio Recording F   | Maroon 5, Christina Aguilera   | Pop                  | 2010  
Cold (feat. Future)                      | Maroon 5, Future               | Hip-Hop/Rap          | 2017  
Don't Wanna Know (feat. Kendrick Lamar   | Maroon 5, Kendrick Lamar       | Hip-Hop/Rap          | 2017  
What Lovers Do (feat. SZA)               | Maroon 5, SZA                  | Pop                  | 2017  
Payphone                                 | Maroon 5, Wiz Khalifa          | Hip-Hop/Rap          | 2012  
Payphone                                 | Maroon 5, Wiz Khalifa          | Hip-Hop/Rap          | 2012  
Alone                                    | Marshmello                     | Eletrônica           | 2016  
You & Me                                 | Marshmello                     | Eletrônica           | 2019  
FRIENDS                                  | Marshmello, Anne-Marie         | Eletrônica           | 2015  
Happier                                  | Marshmello, Bastille           | Eletrônica           | 2018  
One Thing Right                          | Marshmello, Kane Brown         | Eletrônica           | 2019  
Numb                                     | Marshmello, Khalid             | Eletrônica           | 2022  
Silence                                  | Marshmello, Khalid             | Eletrônica           | 2017  
Keep It Mello (feat. Omar LinX)          | Marshmello, Omar LinX          | Eletrônica           | -     
Animals - Extended                       | Martin Garrix                  | Eletrônica           | 2013  
Home (feat. Bonn)                        | Martin Garrix, Bonn            | Eletrônica           | 2019  
So Far Away (feat. Jamie Scott & Romy    | Martin Garrix, David Guetta,   | Eletrônica           | 2017  
Ocean (feat. Khalid)                     | Martin Garrix, Khalid          | Eletrônica           | 2018  
There for You                            | Martin Garrix, Troye Sivan     | Eletrônica           | 2017  
Papi                                     | Mateca, Reid                   | Sertanejo            | -     
A Nossa Praia - Ao Vivo                  | Matheus & Kauan                | Sertanejo            | 2016  
A Rosa E O Beija-Flor - Na Praia / Ao    | Matheus & Kauan                | Sertanejo            | 2016  
Antídoto - Ao Vivo                       | Matheus & Kauan                | Sertanejo            | 2016  
Consórcio - Ao Vivo                      | Matheus & Kauan                | Sertanejo            | 2016  
Círculo - Ao Vivo                        | Matheus & Kauan                | Sertanejo            | 2016  
Decide Aí                                | Matheus & Kauan                | Pop/Outros           | 2016  
Decide Aí - Na Praia / Ao Vivo           | Matheus & Kauan                | Sertanejo            | 2016  
Exclusividade - Ao Vivo                  | Matheus & Kauan                | Sertanejo            | 2016  
Expectativa x Realidade                  | Matheus & Kauan                | Sertanejo            | 2016  
Gatilho - Ao Vivo                        | Matheus & Kauan                | Sertanejo            | 2016  
Imagina A Sentada - Ao Vivo              | Matheus & Kauan                | Sertanejo            | 2016  
Imagina A Sentada – Spotify Singles      | Matheus & Kauan                | Sertanejo            | 2016  
Incerteza - Na Praia / Ao Vivo           | Matheus & Kauan                | Sertanejo            | 2016  
Litrão - Ao Vivo Em Recife / 2020        | Matheus & Kauan                | Sertanejo            | 2016  
Nem Doeu - Ao Vivo                       | Matheus & Kauan                | Sertanejo            | 2016  
Nessas Horas - Ao Vivo                   | Matheus & Kauan                | Sertanejo            | 2016  
O Nosso Santo Bateu - Ao Vivo            | Matheus & Kauan                | Sertanejo            | 2016  
O Nosso Santo Bateu - Live               | Matheus & Kauan                | Sertanejo            | 2016  
Quarta Cadeira - Acústico                | Matheus & Kauan                | Sertanejo            | 2016  
Que Sorte A Nossa - Ao Vivo              | Matheus & Kauan                | Sertanejo            | 2016  
Te Assumi Pro Brasil - Ao Vivo           | Matheus & Kauan                | Sertanejo            | 2016  
Tô Com Moral No Céu! - Ao Vivo           | Matheus & Kauan                | Sertanejo            | 2016  
Vou Ter Que Superar - Acústico           | Matheus & Kauan                | Sertanejo            | 2016  
É Problema                               | Matheus & Kauan                | Sertanejo            | 2016  
Ao Vivo E A Cores                        | Matheus & Kauan,               | Sertanejo            | 2016  
Quarta Cadeira - Ao Vivo                 | Matheus & Kauan,               | Sertanejo            | 2016  
Vagabundo                                | Matheus & Kauan,               | Sertanejo            | 2016  
Vou Ter Que Superar - Ao Vivo            | Matheus & Kauan,               | Sertanejo            | 2016  
Deixa Ela Beijar                         | Matheus & Kauan, MC Kevinho    | Funk                 | 2016  
Altas Loucurinhas (Uni Duni Tê) - Ao V   | Matheus Fernandes              | Sertanejo            | 2023  
Baby Me Atende                           | Matheus Fernandes,             | Sertanejo            | 2021  
Candy Paint                              | Matty Wavez                    | Unknown              | 2017  
777-666                                  | Matuê                          | Trap                 | 2020  
A Morte do Autotune                      | Matuê                          | Trap                 | 2018  
A Morte do Autotune                      | Matuê                          | Trap                 | 2018  
A Morte do Autotune                      | Matuê                          | Trap                 | 2018  
Anos Luz                                 | Matuê                          | Trap                 | 2017  
Anos Luz                                 | Matuê                          | Trap                 | 2017  
Anos Luz                                 | Matuê                          | Trap                 | 2017  
Antes                                    | Matuê                          | Trap                 | 2018  
Antes                                    | Matuê                          | Trap                 | 2018  
Boomzim                                  | Matuê                          | Trap                 | 2021  
De Alta                                  | Matuê                          | Trap                 | 2017  
Everything                               | Matuê                          | Trap                 | 2005  
Higher                                   | Matuê                          | Trap                 | 2019  
Kenny G                                  | Matuê                          | Trap                 | 2019  
Lama no Copo                             | Matuê                          | Trap                 | 2017  
Lama no Copo                             | Matuê                          | Trap                 | 2017  
Máquina do Tempo                         | Matuê                          | Trap                 | 2021  
Máquina do Tempo                         | Matuê                          | Trap                 | 2021  
OS MELHORES                              | Matuê                          | Trap                 | 2020  
Quem Manda É a 30                        | Matuê                          | Trap                 | 2019  
Quer Voar                                | Matuê                          | Trap                 | 2021  
REI TUÊ                                  | Matuê                          | Trap                 | 2020  
Rbn                                      | Matuê                          | Trap                 | 2016  
TALKING BOUT                             | Matuê                          | Trap                 | 2023  
TODAS AS LUZES                           | Matuê                          | Trap                 | 2020  
É Sal                                    | Matuê                          | Trap                 | 2024  
BACKSTAGE                                | Matuê, BNYX, Azul Wynter, Br   | Trap                 | 2020  
AUTOBAHN                                 | Matuê, Cashley                 | Trap                 | 2023  
Urubus                                   | Matuê, Derek                   | Trap                 | 2018  
Celine                                   | Matuê, Drakoz                  | Trap                 | 2020  
FACAS E MACHADOS                         | Matuê, FAB GODAMN, okie        | Trap                 | 2020  
De Peça em Peça                          | Matuê, Knust, Chris Mc         | Trap                 | 2018  
De Peça em Peça                          | Matuê, Knust, Chris Mc         | Trap                 | 2018  
De Peça em Peça                          | Matuê, Knust, Chris Mc         | Trap                 | 2018  
Sem Dó                                   | Matuê, L7NNON                  | Hip-Hop/Rap          | 2021  
PENSAMENTOS PERIGOSOS                    | Matuê, LPT Zlatan              | Trap                 | 2020  
Filho da Noite                           | Matuê, MC Ryan SP              | Trap                 | 2024  
H. O. R. T. A                            | Matuê, Menestrel               | Trap                 | 2017  
NANANANA                                 | Matuê, N.A.N.A.                | Trap                 | 2020  
ALTERADO                                 | Matuê, Phl Notunrboy           | Trap                 | 2020  
Banco                                    | Matuê, Predella                | Trap                 | 2019  
Banco                                    | Matuê, Predella                | Trap                 | 2019  
100 Placas                               | Matuê, Raonir Braz             | Trap                 | 2017  
Conexões de Máfia (feat. Rich The Kid)   | Matuê, Rich The Kid            | Trap                 | 2023  
Conexões de Máfia (feat. Rich The Kid)   | Matuê, WIU e Teto              | Trap                 | -     
Vampiro                                  | Matuê, WIU, Teto               | Trap                 | 2022  
ÍCONE FASHION                            | Matuê, kouth                   | Trap                 | 2020  
Slow Down (feat. Jorja Smith) - Vintag   | Maverick Sabre, Jorja Smith,   | Pop, R&B, Soul       | 2020  
* da Anitta                              | Mc Daniel, NOG,                | Funk                 | 2022  
Pé Direito                               | Mc Davi                        | Sertanejo            | 2021  
Bipolar                                  | Mc Davi, Mc Pedrinho, ,        | Sertanejo            | 2022  
Amar Amei                                | Mc Don Juan                    | Sertanejo            | 2017  
EU VOU COM CARINHO ELA QUER COM FORÇA    | Mc Don Juan, ,                 | Sertanejo            | 2022  
Sonhar                                   | Mc Gui                         | Sertanejo            | 2015  
Coração na Geladeira 2                   | Mc Kevin, MC Hariel,           | Funk                 | 2023  
Cheia de Marra                           | Mc Livinho                     | Sertanejo            | 2016  
Tudo de Bom                              | Mc Livinho                     | Sertanejo            | 2016  
Esse Dom                                 | Mc Livinho, DJ Marlboro        | Trap                 | 2017  
Dois Corações - Acústico                 | Melim                          | Reggae/Vibe          | 2016  
Meu Abrigo                               | Melim                          | Reggae/Vibe          | 2017  
Ouvi Dizer                               | Melim                          | Reggae/Vibe          | 2019  
Young Black & Rich                       | Melly Mike                     | Rap                  | 2025  
All Around Me                            | Michael Bolton                 | Música               | 1991  
A Foggy Day (In London Town)             | Michael Bublé                  | Jazz/Pop             | 2005  
A Nightingale Sang in Berkeley Square    | Michael Bublé                  | Jazz/Pop             | 2022  
All of Me                                | Michael Bublé                  | Jazz/Pop             | 2009  
Call Me Irresponsible                    | Michael Bublé                  | Jazz/Pop             | 2007  
Come Dance with Me                       | Michael Bublé                  | Jazz/Pop             | 2013  
Come Fly with Me                         | Michael Bublé                  | Jazz/Pop             | 2003  
Crazy Little Thing Called Love           | Michael Bublé                  | Jazz/Pop             | 2003  
Crazy Love                               | Michael Bublé                  | Jazz/Pop             | 2009  
Dream a Little Dream of Me               | Michael Bublé                  | Jazz/Pop             | 2010  
For Once in My Life                      | Michael Bublé                  | Jazz/Pop             | 2003  
Haven't Met You Yet                      | Michael Bublé                  | Pop/Outros           | 2009  
Haven't Met You Yet                      | Michael Bublé                  | Música               | 2009  
Hold On                                  | Michael Bublé                  | Jazz/Pop             | 2009  
How Sweet It Is                          | Michael Bublé                  | Jazz/Pop             | 2006  
I Get a Kick out of You                  | Michael Bublé                  | Jazz/Pop             | 2018  
I Only Have Eyes for You                 | Michael Bublé                  | Jazz/Pop             | 2018  
I Wanna Be Around                        | Michael Bublé                  | Jazz/Pop             | 2016  
I'll Never Not Love You                  | Michael Bublé                  | Jazz/Pop             | 2022  
I've Got You Under My Skin               | Michael Bublé                  | Jazz/Pop             | 2005  
I've Got the World on a String           | Michael Bublé                  | Jazz/Pop             | 2007  
It's a Beautiful Day - Swing Mix         | Michael Bublé                  | Jazz/Pop             | 2013  
Kissing a Fool                           | Michael Bublé                  | Jazz/Pop             | 2003  
Mack the Knife                           | Michael Bublé                  | Jazz/Pop             | 2006  
My Baby Just Cares for Me                | Michael Bublé                  | Jazz/Pop             | 2016  
My Funny Valentine                       | Michael Bublé                  | Jazz/Pop             | 2018  
My Kind of Girl                          | Michael Bublé                  | Jazz/Pop             | 2016  
Nice 'n Easy                             | Michael Bublé                  | Jazz/Pop             | 2004  
Nobody But Me                            | Michael Bublé                  | Música               | 2016  
On an Evening in Roma (Sott'er Celo de   | Michael Bublé                  | Jazz/Pop             | 2016  
Such a Night                             | Michael Bublé                  | Jazz/Pop             | 2018  
Such a Night                             | Michael Bublé                  | Jazz/Pop             | 2018  
Summer Wind                              | Michael Bublé                  | Jazz/Pop             | 2003  
Sway                                     | Michael Bublé                  | Jazz/Pop             | 2003  
The Best Is yet to Come                  | Michael Bublé                  | Jazz/Pop             | 2007  
The More I See You                       | Michael Bublé                  | Jazz/Pop             | 2005  
The Very Thought of You                  | Michael Bublé                  | Jazz/Pop             | 2016  
The Way You Look Tonight                 | Michael Bublé                  | Jazz/Pop             | 2003  
To Be Loved                              | Michael Bublé                  | Jazz/Pop             | 2013  
Try a Little Tenderness                  | Michael Bublé                  | Jazz/Pop             | 2005  
Unforgettable                            | Michael Bublé                  | Jazz/Pop             | 2018  
When You're Smiling                      | Michael Bublé                  | Jazz/Pop             | 2018  
Where or When                            | Michael Bublé                  | Jazz/Pop             | 2018  
Who's Lovin' You                         | Michael Bublé                  | Jazz/Pop             | 1969  
You Make Me Feel so Young                | Michael Bublé                  | Jazz/Pop             | 2013  
You and I                                | Michael Bublé                  | Jazz/Pop             | 2005  
You're Nobody till Somebody Loves You    | Michael Bublé                  | Jazz/Pop             | 2009  
You've Got a Friend in Me                | Michael Bublé                  | Jazz/Pop             | 2013  
Young at Heart                           | Michael Bublé                  | Jazz/Pop             | 2013  
Stardust (with Naturally 7)              | Michael Bublé, Naturally 7     | Jazz/Pop             | 2009  
Something Stupid (feat. Reese Withersp   | Michael Bublé, Reese Withers   | Jazz/Pop             | 2013  
They Don't Care About Us                 | Michael Jackson                | Pop/R&B              | 1995  
Love Never Felt So Good                  | Michael Jackson,               | Musical              | 2014  
Venus                                    | Michael White, MYLK            | Pop                  | 2018  
